Human Timestamp,Unix Time,Microseconds,Roll Standard Deviation,Pitch Standard Deviation,Heading Standard Deviation
Tue May 24 09:11:52 EDT 2016,1464095512,2000,0.25019798,0.24760062,0.03250848
Tue May 24 09:11:52 EDT 2016,1464095512,503000,0.24967663,0.2471699,0.03249356
Tue May 24 09:11:53 EDT 2016,1464095513,2000,0.24890488,0.24648194,0.032477565
Tue May 24 09:11:53 EDT 2016,1464095513,513000,0.24894616,0.24658348,0.032502614
Tue May 24 09:11:54 EDT 2016,1464095514,14000,0.25005078,0.247733,0.032484856
Tue May 24 09:11:54 EDT 2016,1464095514,512000,0.24969459,0.24745917,0.03243628
Tue May 24 09:11:55 EDT 2016,1464095515,13000,0.24812338,0.24598977,0.032370858
Tue May 24 09:11:55 EDT 2016,1464095515,512000,0.24743195,0.24538217,0.032331653
Tue May 24 09:11:56 EDT 2016,1464095516,35000,0.24687783,0.2449093,0.03234436
Tue May 24 09:11:56 EDT 2016,1464095516,534000,0.24549024,0.24359521,0.032312248
Tue May 24 09:11:57 EDT 2016,1464095517,36000,0.2449394,0.24311002,0.032264344
Tue May 24 09:11:57 EDT 2016,1464095517,535000,0.2444203,0.24265996,0.032193713
Tue May 24 09:11:58 EDT 2016,1464095518,36000,0.24400462,0.24231622,0.032135792
Tue May 24 09:11:58 EDT 2016,1464095518,535000,0.24278767,0.24116649,0.032078993
Tue May 24 09:11:59 EDT 2016,1464095519,35000,0.24238607,0.24081427,0.032025345
Tue May 24 09:11:59 EDT 2016,1464095519,535000,0.24202445,0.24048886,0.031977493
Tue May 24 09:12:00 EDT 2016,1464095520,36000,0.2409402,0.23944196,0.031934705
Tue May 24 09:12:00 EDT 2016,1464095520,535000,0.24064407,0.23917963,0.031882912
Tue May 24 09:12:01 EDT 2016,1464095521,35000,0.24035972,0.23893301,0.031849712
Tue May 24 09:12:01 EDT 2016,1464095521,535000,0.24010198,0.23871092,0.03182008
Tue May 24 09:12:02 EDT 2016,1464095522,39000,0.23914605,0.23777978,0.031781923
Tue May 24 09:12:02 EDT 2016,1464095522,535000,0.2389608,0.23761079,0.031739186
Tue May 24 09:12:03 EDT 2016,1464095523,38000,0.23886225,0.23753594,0.031722922
Tue May 24 09:12:03 EDT 2016,1464095523,536000,0.2379746,0.23667632,0.0316574
Tue May 24 09:12:04 EDT 2016,1464095524,38000,0.23784079,0.23655571,0.03159565
Tue May 24 09:12:04 EDT 2016,1464095524,536000,0.23774292,0.23645923,0.03153552
Tue May 24 09:12:05 EDT 2016,1464095525,39000,0.23693596,0.23565671,0.031470858
Tue May 24 09:12:05 EDT 2016,1464095525,536000,0.23685263,0.2355825,0.031409502
Tue May 24 09:12:06 EDT 2016,1464095526,39000,0.23678215,0.23552106,0.031355564
Tue May 24 09:12:06 EDT 2016,1464095526,536000,0.23674692,0.23548082,0.03131909
Tue May 24 09:12:07 EDT 2016,1464095527,39000,0.2364392,0.23515506,0.031281758
