Human Timestamp,Unix Time,Microseconds,Geoid Height
Tue May 24 09:12:10 EDT 2016,1464095530,235981,-27.378878
Tue May 24 09:12:12 EDT 2016,1464095532,235980,-27.374952
Tue May 24 09:12:14 EDT 2016,1464095534,235981,-27.370989
Tue May 24 09:15:11 EDT 2016,1464095711,585982,-26.992922
Tue May 24 09:15:13 EDT 2016,1464095713,585982,-26.988335
Tue May 24 09:15:15 EDT 2016,1464095715,585982,-26.983746
Tue May 24 09:15:17 EDT 2016,1464095717,585980,-26.979155
Tue May 24 09:15:19 EDT 2016,1464095719,585983,-26.974525
Tue May 24 09:15:21 EDT 2016,1464095721,585983,-26.969927
Tue May 24 09:15:23 EDT 2016,1464095723,585980,-26.965292
Tue May 24 09:15:25 EDT 2016,1464095725,585982,-26.960657
Tue May 24 09:15:27 EDT 2016,1464095727,585981,-26.955982
Tue May 24 09:15:29 EDT 2016,1464095729,586016,-26.95131
Tue May 24 09:15:31 EDT 2016,1464095731,586004,-26.946634
Tue May 24 09:15:33 EDT 2016,1464095733,586052,-26.941923
Tue May 24 09:15:35 EDT 2016,1464095735,635980,-26.937212
Tue May 24 09:15:37 EDT 2016,1464095737,635982,-26.93247
Tue May 24 09:15:39 EDT 2016,1464095739,635980,-26.927725
Tue May 24 09:15:41 EDT 2016,1464095741,635982,-26.922981
